:       LST, W/m2, m/s , m/s , Deg , Deg , m/s ,Deg C,Deg C,Deg C,  %  ,  %  ,  %  ,Deg C,Deg C,Deg C, mm  , mm  ,mbar , W/m2,Deg C, W/m2,volts,volts,volts,Deg C,     
: Date/Time, Solar ,  Wind , Wind  , Wind  ,Std Dev,Mx Gust, Mx Air, Mn Air, Av Air,Mx Rel ,Mn Rel ,  Rel  ,4" Soil,4" Soil,4" Soil, Precip, Accum , Barom , Rl in ,Pyrgeo1,Rl in  ,Max Bat,Min Bat,Battery,Dat Pan,Station
:YYMMDDhhmm,  Rad. ,  Speed,Vec Mag, Direc ,Wnd Dir, Speed ,  Temp ,  Temp ,  Temp ,Humidty,Humidty,Humidty,Mx Temp,Mn Temp,Av Temp,       , Pcpn  , Press ,uncorr., Temp. ,       , Volts , Volts ,Voltage,  Temp , Id. # 
2110230000,0,4.435,4.238,272.2,17.13,8.516,8.87,8.5,8.67,44.93,43.28,44.01,13.83,13.77,13.8,0,72.14,859.5,-22.51,10.85,346.5,12.14,11.99,12.07,11.1,2621
2110230010,0,5.195,5.025,284.6,14.48,10.82,8.6,8.07,8.3,46.65,44.04,45.49,13.81,13.75,13.77,0,72.14,859.4,-23.62,10.45,343.3,12.14,11.98,12.03,11.06,2621
2110230020,0,4.712,4.493,286.9,17.54,7.34,8.24,7.71,7.92,49.53,46.58,48.24,13.78,13.73,13.75,0,72.14,859.3,-23.62,10.16,341.8,12.05,11.98,11.99,10.97,2621
2110230030,0,4.555,4.359,283.2,16.85,8.664,7.91,7.68,7.78,50.06,49.03,49.54,13.77,13.71,13.73,0,72.14,859.3,-23.62,10.03,341.2,12.05,11.97,11.99,10.87,2621
2110230040,0,4.757,4.587,282.8,15.15,8.467,7.91,7.48,7.71,53.13,49.69,51.26,13.74,13.68,13.71,0,72.14,859.2,-21.12,9.81,342.5,12.04,11.96,11.98,10.74,2621
2110230050,0,4.265,4.077,279.9,17.02,7.68,7.54,7.01,7.27,56.34,52.74,54.93,13.72,13.66,13.69,0,72.14,859.3,-23.13,9.39,338.3,12.04,11.96,11.98,10.61,2621
2110230100,0,4.461,4.318,283.4,14.49,7.291,7.18,6.915,7.03,56.97,55.98,56.55,13.7,13.64,13.67,0,72.14,859.2,-23.65,9.24,337.1,12.12,11.96,12.04,10.48,2621
2110230110,0,4.22,4.059,277,15.8,8.86,7.38,7.01,7.16,56.34,54.23,55.49,13.68,13.62,13.65,0,72.14,859,-27.48,9.34,333.8,12.12,11.95,12,10.32,2621
2110230120,0,3.161,2.987,274,19.07,5.82,7.38,7.15,7.27,55.12,53.76,54.47,13.65,13.59,13.62,0,72.14,858.8,-25.55,9.36,335.8,12.03,11.94,11.97,10.16,2621
2110230130,0,2.332,2.228,274.7,17.11,4.444,7.51,7.28,7.4,54.13,53,53.66,13.64,13.57,13.6,0,72.14,858.6,-23.62,9.38,337.8,12.02,11.94,11.96,10.05,2621
2110230140,0,2.461,2.327,279.6,18.84,5.132,7.81,7.44,7.62,53.27,51.88,52.72,13.62,13.55,13.58,0,72.14,858.8,-23.76,9.36,337.6,12.02,11.94,11.95,9.91,2621
2110230150,0,1.23,1.167,276.8,17.29,2.827,7.87,7.68,7.77,52.94,51.94,52.42,13.59,13.53,13.56,0,72.14,859.1,-23.62,9.43,338,12.02,11.94,11.95,9.83,2621
2110230200,0,1.159,0.8682,61.04,39.85,2.68,7.87,7.44,7.69,55.68,51.78,53.26,13.57,13.5,13.53,0,72.14,859.3,-25.36,9.4,336.2,12.09,11.93,12.01,9.8,2621
2110230210,0,2.111,1.427,69.93,46.09,4.345,7.58,7.21,7.36,56.97,53.63,55.65,13.55,13.48,13.5,0,72.14,859.4,-25.06,9.19,335.4,12.1,11.93,11.98,9.79,2621
2110230220,0,1.39,0.6089,289.9,60.73,4.202,7.68,7.34,7.5,55.52,51.22,53.49,13.52,13.45,13.48,0,72.14,859.5,-23.62,9.25,337.2,12,11.92,11.94,9.75,2621
2110230230,0,3.228,2.982,286.4,22.25,6.898,7.97,7.58,7.81,51.45,50.39,50.81,13.49,13.42,13.46,0,72.14,859.2,-23.62,9.58,338.8,12,11.92,11.94,9.66,2621
2110230240,0,3.773,3.496,262.9,21.99,7.291,7.84,7.58,7.74,52.11,51.12,51.55,13.46,13.4,13.43,0,72.14,859.2,-23.62,9.8,340,11.99,11.92,11.93,9.63,2621
2110230250,0,2.756,2.344,278.9,31.3,6.701,7.74,7.51,7.61,53.04,51.75,52.42,13.45,13.39,13.41,0,72.14,859,-23.62,9.64,339.1,12,11.91,11.93,9.66,2621
2110230300,0,2.751,2.531,256.6,22.92,5.378,7.68,7.44,7.57,53.47,52.61,53.1,13.43,13.36,13.39,0,72.14,859.1,-23.62,9.42,338,12.08,11.91,11.99,9.72,2621
2110230310,0,1.9,1.656,249,29.01,5.914,7.68,7.48,7.58,54.29,53,53.59,13.4,13.33,13.36,0,72.14,859.1,-23.62,9.41,337.9,12.08,11.9,11.96,9.69,2621
2110230320,0,1.933,1.735,249.4,25.92,3.268,7.61,7.25,7.44,56.38,54.16,55.33,13.37,13.32,13.34,0,72.14,859,-23.62,9.38,337.8,11.98,11.9,11.92,9.66,2621
2110230330,0,2.027,1.88,277.3,21.79,3.956,7.41,7.21,7.32,56.68,55.49,55.99,13.35,13.29,13.32,0,72.14,859.1,-23.62,9.3,337.4,11.98,11.9,11.92,9.65,2621
2110230340,0,2.533,2.258,265.1,26.71,5.476,7.48,7.28,7.37,56.25,55.22,55.64,13.33,13.27,13.29,0,72.14,859.1,-23.62,9.44,338.1,11.97,11.89,11.91,9.64,2621
2110230350,0,2.591,2.461,234.5,18.21,5.378,7.48,7.25,7.37,56.71,55.62,56.08,13.31,13.25,13.27,0,72.14,859.1,-23.62,9.41,338,11.98,11.89,11.9,9.57,2621
2110230400,0,2.543,2.321,205.2,23.92,5.82,7.48,7.21,7.36,56.91,56.21,56.56,13.28,13.23,13.25,0,72.14,859,-23.63,9.45,338.2,12.05,11.89,11.97,9.54,2621
2110230410,0,2.106,1.389,234.9,47.28,3.465,7.48,7.18,7.37,57.34,56.41,56.75,13.27,13.21,13.23,0,72.14,859.2,-23.63,9.33,337.5,12.06,11.88,11.93,9.52,2621
2110230420,0,1.93,1.858,259.7,15.68,3.219,7.51,7.28,7.39,57.31,56.48,56.9,13.25,13.19,13.21,0,72.14,859.3,-23.63,9.3,337.4,11.96,11.88,11.89,9.46,2621
2110230430,0,2.35,2.213,260.3,19.54,3.809,7.58,7.28,7.39,57.47,56.74,57.11,13.23,13.17,13.19,0,72.14,859.4,-23.63,9.38,337.8,11.96,11.87,11.89,9.42,2621
2110230440,0,1.892,1.758,219,21.52,3.71,7.58,7.35,7.48,57.44,56.58,56.93,13.2,13.15,13.17,0,72.14,859.3,-24.77,9.42,336.9,11.95,11.87,11.88,9.39,2621
2110230450,0,2.053,1.829,221.6,26.74,3.317,7.61,7.38,7.48,57.8,56.94,57.34,13.19,13.13,13.15,0,72.14,859.5,-23.63,9.39,337.8,11.96,11.87,11.88,9.38,2621
2110230500,0,2.65,2.542,269.4,16.31,4.444,7.61,7.35,7.46,58.4,57.47,57.87,13.16,13.1,13.13,0,72.14,859.5,-23.63,9.44,338.1,12.04,11.87,11.95,9.38,2621
2110230510,0,3.509,3.38,287.3,15.42,6.898,7.81,7.31,7.57,58.5,56.08,57.17,13.15,13.09,13.11,0,72.14,859.5,-23.63,9.52,338.5,12.04,11.86,11.91,9.39,2621
2110230520,0,3.147,2.986,262.9,18.24,6.701,7.91,7.62,7.74,57.04,55.99,56.53,13.13,13.07,13.09,0,72.14,859.5,-23.63,9.78,339.8,11.94,11.86,11.88,9.4,2621
2110230530,0,1.859,1.57,164.4,31.93,3.465,7.85,7.38,7.68,58.47,56.35,57.08,13.11,13.04,13.08,0,72.14,859.3,-23.63,9.54,338.6,11.94,11.85,11.87,9.45,2621
2110230540,0,1.845,1.713,138.7,21.71,2.925,7.48,7.05,7.26,59.49,58.23,58.88,13.09,13.02,13.06,0,72.14,859.3,-30.01,9.13,330.1,11.93,11.85,11.86,9.45,2621
2110230550,0,0.9075,0.836,111,21.99,2.091,7.18,6.917,7.04,60.09,59.26,59.69,13.07,13.01,13.04,0,72.14,859.3,-32.32,8.64,325.3,11.93,11.85,11.86,9.42,2621
2110230600,0,0.6169,0.3608,173.2,46.19,1.405,7.05,6.72,6.893,60.25,59.33,59.68,13.05,13,13.02,0,72.14,859.4,-42.86,8.19,312.5,12.02,11.84,11.93,9.37,2621
2110230610,1,1.574,1.489,314,18.84,2.533,6.853,6.557,6.714,61.18,59.76,60.51,13.04,12.97,13,0,72.14,859.3,-53.92,7.8,299.5,12.02,11.84,11.9,9.29,2621
